,Path,Age,Sex,Race
0,UTKFace/9_1_2_20161219204347420.jpg.chip.jpg,9,1,2
1,UTKFace/36_0_1_20170117163203851.jpg.chip.jpg,36,0,1
2,UTKFace/86_1_0_20170120225751953.jpg.chip.jpg,86,1,0
3,UTKFace/26_1_0_20170116171048641.jpg.chip.jpg,26,1,0
4,UTKFace/1_1_2_20161219154612988.jpg.chip.jpg,1,1,2
5,UTKFace/52_0_1_20170117161018159.jpg.chip.jpg,52,0,1
6,UTKFace/25_1_0_20170117134403373.jpg.chip.jpg,25,1,0
7,UTKFace/16_0_0_20170104003740977.jpg.chip.jpg,16,0,0
8,UTKFace/27_0_3_20170119210058457.jpg.chip.jpg,27,0,3
9,UTKFace/36_0_3_20170119180245724.jpg.chip.jpg,36,0,3
10,UTKFace/58_0_2_20170116193704928.jpg.chip.jpg,58,0,2
11,UTKFace/6_1_0_20170114024512634.jpg.chip.jpg,6,1,0
12,UTKFace/35_1_2_20170116185947151.jpg.chip.jpg,35,1,2
13,UTKFace/1_1_3_20161219230734016.jpg.chip.jpg,1,1,3
14,UTKFace/26_1_1_20170103181931657.jpg.chip.jpg,26,1,1
15,UTKFace/2_0_2_20161219141650121.jpg.chip.jpg,2,0,2
16,UTKFace/53_1_0_20170110143534851.jpg.chip.jpg,53,1,0
17,UTKFace/35_0_3_20170119201304861.jpg.chip.jpg,35,0,3
18,UTKFace/23_1_0_20170117142807780.jpg.chip.jpg,23,1,0
19,UTKFace/24_0_3_20170119152239904.jpg.chip.jpg,24,0,3
20,UTKFace/26_1_2_20170116182434267.jpg.chip.jpg,26,1,2
21,UTKFace/75_0_0_20170117204739711.jpg.chip.jpg,75,0,0
22,UTKFace/36_1_4_20170104172843788.jpg.chip.jpg,36,1,4
23,UTKFace/23_1_0_20170116222839270.jpg.chip.jpg,23,1,0
24,UTKFace/50_0_0_20170117155052592.jpg.chip.jpg,50,0,0
25,UTKFace/15_0_0_20170116211720424.jpg.chip.jpg,15,0,0
26,UTKFace/25_0_1_20170116002302626.jpg.chip.jpg,25,0,1
27,UTKFace/37_0_0_20170104205628245.jpg.chip.jpg,37,0,0
28,UTKFace/10_0_1_20170110223848885.jpg.chip.jpg,10,0,1
29,UTKFace/22_0_1_20170113150441654.jpg.chip.jpg,22,0,1
30,UTKFace/1_0_2_20161219205313061.jpg.chip.jpg,1,0,2
31,UTKFace/29_1_2_20170116163350492.jpg.chip.jpg,29,1,2
32,UTKFace/26_0_1_20170113174952963.jpg.chip.jpg,26,0,1
33,UTKFace/21_0_0_20170116215444801.jpg.chip.jpg,21,0,0
34,UTKFace/46_0_3_20170119195336586.jpg.chip.jpg,46,0,3
35,UTKFace/52_0_0_20170104212337021.jpg.chip.jpg,52,0,0
36,UTKFace/26_1_0_20170117154814509.jpg.chip.jpg,26,1,0
37,UTKFace/27_0_3_20170119211454145.jpg.chip.jpg,27,0,3
38,UTKFace/17_0_0_20170117134955265.jpg.chip.jpg,17,0,0
39,UTKFace/63_0_1_20170117155018994.jpg.chip.jpg,63,0,1
40,UTKFace/34_1_1_20170117010327748.jpg.chip.jpg,34,1,1
41,UTKFace/61_0_3_20170119211851089.jpg.chip.jpg,61,0,3
42,UTKFace/18_1_0_20170109212830216.jpg.chip.jpg,18,1,0
43,UTKFace/29_1_1_20170115234825058.jpg.chip.jpg,29,1,1
44,UTKFace/25_1_1_20170112230722548.jpg.chip.jpg,25,1,1
45,UTKFace/34_1_3_20170104235537715.jpg.chip.jpg,34,1,3
46,UTKFace/20_0_1_20170113132355967.jpg.chip.jpg,20,0,1
47,UTKFace/32_0_3_20170117154217366.jpg.chip.jpg,32,0,3
48,UTKFace/34_1_4_20170103230336761.jpg.chip.jpg,34,1,4
49,UTKFace/29_1_0_20170113012617623.jpg.chip.jpg,29,1,0
50,UTKFace/46_1_0_20170119192512353.jpg.chip.jpg,46,1,0
51,UTKFace/36_1_0_20170116221129203.jpg.chip.jpg,36,1,0
52,UTKFace/34_1_0_20170104174537956.jpg.chip.jpg,34,1,0
53,UTKFace/32_0_3_20170119192340778.jpg.chip.jpg,32,0,3
54,UTKFace/30_0_0_20170104000150443.jpg.chip.jpg,30,0,0
55,UTKFace/32_1_1_20170112215044104.jpg.chip.jpg,32,1,1
56,UTKFace/75_1_3_20170110175327928.jpg.chip.jpg,75,1,3
57,UTKFace/32_0_1_20170113185204177.jpg.chip.jpg,32,0,1
58,UTKFace/45_0_3_20170119202458980.jpg.chip.jpg,45,0,3
59,UTKFace/26_0_1_20170117195934763.jpg.chip.jpg,26,0,1
60,UTKFace/36_0_1_20170116030200366.jpg.chip.jpg,36,0,1
61,UTKFace/24_1_2_20170104020224692.jpg.chip.jpg,24,1,2
62,UTKFace/31_0_1_20170117135511623.jpg.chip.jpg,31,0,1
63,UTKFace/31_0_1_20170117130014250.jpg.chip.jpg,31,0,1
64,UTKFace/86_1_0_20170110180113129.jpg.chip.jpg,86,1,0
65,UTKFace/43_0_2_20170112220312529.jpg.chip.jpg,43,0,2
66,UTKFace/25_0_0_20170117153733428.jpg.chip.jpg,25,0,0
67,UTKFace/26_1_1_20170116225222631.jpg.chip.jpg,26,1,1
68,UTKFace/3_0_3_20161219225157056.jpg.chip.jpg,3,0,3
69,UTKFace/54_1_0_20170110141340224.jpg.chip.jpg,54,1,0
70,UTKFace/60_1_0_20170110141610416.jpg.chip.jpg,60,1,0
71,UTKFace/25_0_2_20170116161438706.jpg.chip.jpg,25,0,2
72,UTKFace/32_1_3_20170119163219372.jpg.chip.jpg,32,1,3
73,UTKFace/26_0_2_20170116183029241.jpg.chip.jpg,26,0,2
